FILTROS;;;;;;;;;;;;;;;;;;;;;;;
;94 Registros;;;;;;;;12858,39;;12855,22;;212,1;;12855,22;;977,06;;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;IND_OPER;COD_PART;COD_ITEM;DT_OPER;VL_OPER;CST_PIS;VL_BC_PIS;ALIQ_PIS;VL_PIS;CST_COFINS;VL_BC_COFINS;ALIQ_COFINS;VL_COFINS;NAT_BC_CRED;IND_ORIG_CRED;COD_CTA;COD_CCUS;DESC_DOC_OPER;
F100;09/2025-67903807000105;A86BB4724D1FE86840B0D8A115762E72;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000203;778291;45904;49,01;01 - Operação Tributável com Alíquota Básica;49,01;0,0165;0,81;01 - Operação Tributável com Alíquota Básica;49,01;0,076;3,72;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;FB7D48BC3E542C22BB6CF292CCC57ADB;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000203;780016;45904;136,32;01 - Operação Tributável com Alíquota Básica;136,32;0,0165;2,25;01 - Operação Tributável com Alíquota Básica;136,32;0,076;10,36;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;51F95F78671B02FEA94CCEDA71C7EBAC;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000203;173643;45911;68,16;01 - Operação Tributável com Alíquota Básica;68,16;0,0165;1,12;01 - Operação Tributável com Alíquota Básica;68,16;0,076;5,18;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;6387C980860D350B3D203B02BCD9E916;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000203;735562;45911;102,71;01 - Operação Tributável com Alíquota Básica;102,71;0,0165;1,69;01 - Operação Tributável com Alíquota Básica;102,71;0,076;7,81;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;4E2C7F0B272F95FCF68AD1C0B5BC3A94;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000203;778273;45911;33,24;01 - Operação Tributável com Alíquota Básica;33,24;0,0165;0,55;01 - Operação Tributável com Alíquota Básica;33,24;0,076;2,53;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;3872FFC802FFA05CFD1A19B21CF3A2C1;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000203;778275;45911;66,48;01 - Operação Tributável com Alíquota Básica;66,48;0,0165;1,1;01 - Operação Tributável com Alíquota Básica;66,48;0,076;5,05;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;F2BA9BF53B703E8352EA6BD1052C4C81;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000203;780016;45911;136,32;01 - Operação Tributável com Alíquota Básica;136,32;0,0165;2,25;01 - Operação Tributável com Alíquota Básica;136,32;0,076;10,36;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;02F5C1A893019510889A246BBA1621CC;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000203;78962899528840;45918;251,04;01 - Operação Tributável com Alíquota Básica;251,04;0,0165;4,14;01 - Operação Tributável com Alíquota Básica;251,04;0,076;19,08;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;BED4B47A14D74544EA3AF26D1813C210;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000203;778273;45918;33,24;01 - Operação Tributável com Alíquota Básica;33,24;0,0165;0,55;01 - Operação Tributável com Alíquota Básica;33,24;0,076;2,53;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;A90A988152135C61275B0D29C97C3977;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000203;778275;45918;99,72;01 - Operação Tributável com Alíquota Básica;99,72;0,0165;1,65;01 - Operação Tributável com Alíquota Básica;99,72;0,076;7,58;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;5C32A6B2308B0CF2741F76A5F6B20D03;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000203;780016;45918;204,48;01 - Operação Tributável com Alíquota Básica;204,48;0,0165;3,37;01 - Operação Tributável com Alíquota Básica;204,48;0,076;15,54;;;470;;Receita decorrente de entradas recebidas em bonificação;
