FILTROS;;;;;;;;;;;
;137 Registros;;;;;;;;0;22068,59;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;IND_EMIT;IND_TIT;DESC_TIT;NUM_TIT;QTD_PARC;VL_TIT;
C140;11/2025-57901554000187;8188BDE2A04A429A61063029A5FF380E;DB5C601AE83B8DF5F5B10F7105CF0663;;0 - Própria;99 - Outros;;;;74,96;
C140;11/2025-57901554000187;CF7DAC7B3E97A997B0AF54DEE15D7667;2AFC267F737A9ABC190462E065C86867;;0 - Própria;99 - Outros;;;;166,25;
C140;11/2025-57901554000187;F7B1D09D977A98C99027C3338154EDCA;0ECF204A156F95905DE83C2AD9BB08F8;;0 - Própria;99 - Outros;;;;183,71;
C140;11/2025-57901554000187;15D77538E00D7D9818DFDE55969E620B;4820D8461FE7253D447A7A8A6CA16836;;0 - Própria;99 - Outros;;;;175,86;
C140;11/2025-57901554000187;A9DBECCB1F8834A2D0DC709489C12D4C;FD97A761702D46CBACC3332248E38EE2;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;94EB5C0C5C20D29A4C1CBC854773C91E;42D058B6AC0579DF9D667AA6A1D508A1;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;FA4744BB0835C0C1BA2CA24EEB69848B;3E921224FF330B842F78371832309458;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;798181CB7143A55768E6DAB479F472F9;1D9940303C4935DAA8FC1875A1A3A76F;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;27C73C7ED9F2929E9AF829DDC291FE32;8D9F76F156FB4A3A8A2B4E82E728B8E0;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;4400A273D951F843A260841AD002859A;F69D3F215C6C327D7244D5FDA6569956;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;EF3DA84B8947966E4C3E496219E27643;98B9B6429DAB4D2ACC8CC14A4A7C44F0;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;45A3568F6A76D65E4628367A2DA65DA4;07CB635B89014CB4ADDAFBC2CEA52279;;0 - Própria;99 - Outros;;;;164,05;
C140;11/2025-57901554000187;7F1BDB514F3FAECE4655168EBE0E7776;D4C28186BE2563B15DB8F22E8E4B0861;;0 - Própria;99 - Outros;;;;164,05;
C140;11/2025-57901554000187;5C1093DB50E332EB01069A096C587F37;6865B8505B72752B94D79CA9454AED1A;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;C182E566FA552D4982737FDEE36290D1;3A625C6503993D85BC6BC7039530CE20;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;4FE51849CBD5A0EC13E1C48C1911C113;C3CF4240449DAB43F0B52C2CF3258394;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;44B237B4CD9FC33A0BFEF1F6102F2776;B6F848B460D88CE4C6EFBD61ABA03830;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;8F1D42F4B8069737E50A72DE1C3BD38E;BF1A28E55043764083FE407D3A5D00D8;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;CFD9CFEFC16C0D75911F93D0E14AD1FD;DF003E158F675C3F82D6421E0596DF33;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;63018ECC8F822B19EBB0A869722BBB36;C5F80C56EE9EE43DB0B5C11E7C5D66BE;;0 - Própria;99 - Outros;;;;170,92;
C140;11/2025-57901554000187;4903CE1DB1737161CB88CD1FE1C06937;045EAB7CFE54C99891BE859E5E21CEDF;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;1ECC84AAF55F2265244BC1BC2A6ADAD0;587A37CE0C00A89D7ADF4E83B8250248;;0 - Própria;99 - Outros;;;;166,25;
C140;11/2025-57901554000187;CB07087EDBA2FE43236B022C83243CD9;FC29D0A64778A79A9D22B80C9B77001B;;0 - Própria;99 - Outros;;;;170,92;
C140;11/2025-57901554000187;5B682C9E7F538A9FB90B417CB5B66554;1601C1E7717A797188C12AE5C0B0149A;;0 - Própria;99 - Outros;;;;164,05;
C140;11/2025-57901554000187;C7B787E330B1DED78A40875BB69792B9;8BF3E222777654BF5C81108F2098FE74;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;A79DE3BC0725B1A58C81CD3B9C6956F8;9B6FC9D3854605EB11A3FF033DE219B9;;0 - Própria;99 - Outros;;;;247,8;
C140;11/2025-57901554000187;9949D8894B826C2D59E83E539BB1B9CB;D343DFAD001765EF575788FD2B975F7B;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;A13927AA67A94D9FF36E76FF755DF85C;4EC7C6FD8D45C4E9E2A15112EBCBAD60;;0 - Própria;99 - Outros;;;;247,8;
C140;11/2025-57901554000187;E6114D7F3465B41B623ED8D1B718A6D4;F86810F054CA8D40E379408780694352;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;51BC544B683E6E86D049FAE8516D7AC1;B1E1BC88D219F6AAE069425F6389F3A0;;0 - Própria;99 - Outros;;;;164,05;
C140;11/2025-57901554000187;86C2BBD726C3011E77543F0E40A5B9B0;535464F6B48F74DF99F9F09D5821C3CC;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;19A4D2B05874B0A9DD2F5A2F97452D54;AFC873E86F8E5EB54C91DC383ACAD1CD;;0 - Própria;99 - Outros;;;;164,05;
C140;11/2025-57901554000187;5F311ADD0B16DBD580F9610E31A9CD19;87E55866D1E4D45362876B7DA5E037B1;;0 - Própria;99 - Outros;;;;181,03;
C140;11/2025-57901554000187;517ED8E27221564624895178D82A5633;43E3FCD04EBD694FD6E63328359712F9;;0 - Própria;99 - Outros;;;;164,05;
C140;11/2025-57901554000187;0894E4EC37F2447B4493BEA211FD25F2;47EEA96CAD02660075E0889CD207F7D9;;0 - Própria;99 - Outros;;;;164,05;
C140;11/2025-57901554000187;815101247521EE311225F7E5D4D2F0E8;EEC79430D433E046A4469AAF9A8E7CEB;;0 - Própria;99 - Outros;;;;164,05;
C140;11/2025-57901554000187;E845B7E9A9A788CA6AA89AAF7EBC0760;ABF0877319A552BFC810AC637261666E;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;AC0893C4728469E4F7776D224692F5EF;47107ACD4DD15C118AAAF2A3B373162A;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;1F6744521348254A13EDAFEA654EA841;636B21044B11E314014D6360F19CBC6A;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;64A3C4CA47C42DB7153D3BDB1AFF98B4;CB53D27D0F0FFCF805C59AC6AAB0654D;;0 - Própria;99 - Outros;;;;149,9;
